name,latitude,longitude,country,trend,uncertainty,pValue,_id
SASEBO II,33.158056,129.723889,JAPAN,1.7560,0.4330,0.0001,1147
TAJIRI,35.593611,134.315833,JAPAN,2.5820,0.3040,0.0000,1148
MIYAKO II,39.643056,141.975278,JAPAN,3.3070,0.4680,0.0000,1149
SHIRAHAMA,33.683611,135.375278,JAPAN,-0.0600,0.6560,0.9271,1150
NAHA,26.213333,127.665278,JAPAN,2.1780,0.3630,0.0000,1151
CAPE MAY,38.968333,-74.960000,UNITED STATES,4.4870,0.6590,0.0000,1153
"BUNDABERG, BURNETT HEADS",-24.766667,152.383333,AUSTRALIA,0.8590,0.4520,0.0574,1154
YEOSU,34.747222,127.765556,"KOREA, REPUBLIC OF",1.3050,0.4120,0.0015,1155
MIKUNI,36.254722,136.148889,JAPAN,4.1000,0.7670,0.0000,1190
KATSUURA,35.129444,140.249444,JAPAN,2.2450,0.1960,0.0000,1191
APALACHICOLA,29.726667,-84.981667,UNITED STATES,1.4100,0.4780,0.0032,1193
MURORAN,42.350000,140.950000,JAPAN,1.4040,0.2620,0.0000,1194
SOUTH BEACH,44.625000,-124.041667,UNITED STATES,2.1140,0.6410,0.0010,1196
FYNSHAV,54.995000,9.986944,DENMARK,2.1070,0.3740,0.0000,1197
KURE IV,34.240556,132.550278,JAPAN,3.3760,0.5080,0.0000,1209
TOKUYAMA II,34.040833,131.802778,JAPAN,2.5290,0.7270,0.0005,1210
SPIKARNA,62.363333,17.531111,SWEDEN,-6.0160,0.9270,0.0000,1211
UWAJIMA II,33.227222,132.551111,JAPAN,-0.3480,0.5230,0.5058,1212
PORTPATRICK,54.842556,-5.120028,UNITED KINGDOM,2.1470,0.5310,0.0001,1215
SOUDHAS,35.487453,24.082481,GREECE,0.2510,1.2440,0.8401,1232
GOTEBORG - TORSHAMNEN,57.684722,11.790556,SWEDEN,0.5010,0.5280,0.3427,1236
RORVIK,64.859456,11.230107,NORWAY,-0.8980,0.6000,0.1345,1241
BAMFIELD,48.850000,-125.133333,CANADA,-0.2580,0.5910,0.6624,1242
NEW  WESTMINSTER,49.200000,-122.916667,CANADA,-2.1460,1.0820,0.0473,1245
MALAKAL-B,7.333333,134.466667,PALAU,2.5580,1.4530,0.0783,1252
RIKITEA,-23.122268,-134.966749,FRENCH POLYNESIA,1.7740,0.3400,0.0000,1253
OMAEZAKI II,34.608333,138.222222,JAPAN,7.7940,0.5030,0.0000,1263
OGA,39.942222,139.705833,JAPAN,-1.4660,0.4020,0.0003,1264
AKUNE,32.017500,130.190833,JAPAN,0.7850,0.5580,0.1595,1265
HACHINOHE II,40.531667,141.527778,JAPAN,2.5980,0.6710,0.0001,1266
HONNINGSVAG,70.980318,25.972697,NORWAY,1.4870,0.6850,0.0299,1267
HALDIA,22.033333,88.100000,INDIA,2.7810,0.5740,0.0000,1270
OITA II,33.266111,131.686667,JAPAN,1.4700,0.7270,0.0432,1293
LE CONQUET,48.359402,-4.780830,FRANCE,2.7300,0.4020,0.0000,1294
CAMBRIDGE II,38.573333,-76.068333,UNITED STATES,3.7970,0.6860,0.0000,1295
NORTH SYDNEY,46.216667,-60.250000,CANADA,3.5730,0.4940,0.0000,1299
KARIYA,33.473056,129.849167,JAPAN,1.5730,0.5600,0.0050,1318
KURE I,33.333611,133.243333,JAPAN,-2.3920,1.0850,0.0275,1320
CAMPBELL RIVER,50.016667,-125.233333,CANADA,-1.7420,0.5910,0.0032,1323
POHANG,36.047222,129.383889,"KOREA, REPUBLIC OF",4.3910,0.9540,0.0000,1324
PORT TOWNSEND,48.111667,-122.756667,UNITED STATES,1.4510,0.6430,0.0240,1325
OGI,37.814722,138.281111,JAPAN,1.7680,0.6620,0.0076,1344
MONTEREY,36.605000,-121.886667,UNITED STATES,0.8930,0.6140,0.1458,1352
VALDEZ,61.125000,-146.361667,UNITED STATES,-4.1650,1.3400,0.0019,1353
OFUNATO II,39.019722,141.753333,JAPAN,4.6840,0.3570,0.0000,1364
SOKCHO,38.207222,128.594167,"KOREA, REPUBLIC OF",2.1660,0.1970,0.0000,1365
MAIZURU II,35.476667,135.386944,JAPAN,3.9590,0.2730,0.0000,1387
TOYAMA,36.762222,137.224722,JAPAN,3.6920,0.3810,0.0000,1389
MUROTOMISAKI,33.266389,134.164444,JAPAN,7.5800,0.8600,0.0000,1390
CHICHIJIMA,27.083333,142.183333,JAPAN,4.5060,0.7030,0.0000,1391
POINT REYES,37.995000,-122.976667,UNITED STATES,1.4760,0.7050,0.0363,1394
"PAPEETE-B, FARE UTE POINT, SOC.IS.",-17.533081,-149.572724,FRENCH POLYNESIA,3.4150,0.5700,0.0000,1397
KALIX,65.696944,23.096111,SWEDEN,-5.7390,1.3550,0.0000,2101
FORSMARK,60.408611,18.210833,SWEDEN,-3.8990,1.1760,0.0009,2103
MARVIKEN,58.553611,16.837222,SWEDEN,-2.0350,0.6940,0.0034,2104
VISBY,57.639167,18.284444,SWEDEN,-0.7460,0.5710,0.1914,2105
OSKARSHAMN,57.275000,16.478056,SWEDEN,-0.3790,0.5730,0.5083,2106
RINGHALS,57.249722,12.112500,SWEDEN,0.3630,0.5610,0.5176,2111
STENUNGSUND,58.093333,11.832500,SWEDEN,-1.0110,0.5350,0.0588,2112
KUNGSVIK,58.996667,11.127222,SWEDEN,-1.2580,0.7100,0.0764,2113
"PORT ANGELES, WASHINGTON",48.125000,-123.440000,UNITED STATES,-0.2420,0.7460,0.7456,2127
